id,fna,gna,nam,cui,cue,anx,ges,nen_mde,tip,dep,dir,bar,com,sag,geometry
2357,Establecimiento educativo ISSEP-INSTITUTO SUPERIOR DE SEGURIDAD PUBLICA,Establecimiento Educativo,ISSEP-INSTITUTO SUPERIOR DE SEGURIDAD PUBLICA,202187.0,202911.0,00,Estatal,Nivel superior no universitario común,No corresponde - Otras dependencias,Ministerio de Justicia y Seguridad,Santiago De Compostela Av. 3801,Parque Avellaneda,9,Mapa Escolar - Ministerio de Educación,POINT (19881.637901869246 67080.99258011235)
2358,Establecimiento educativo ESCUELA INTEGRAL INTERDISCIPLINARIA Nº 01 DE 15,Establecimiento Educativo,ESCUELA INTEGRAL INTERDISCIPLINARIA Nº 01 DE 15,202188.0,200312.0,00,Estatal,Cursos y talleres de la escuela especial | Integración de modalidad especial | Nivel inicial especial - Jardín de infantes | Nivel inicial especial - Jardín maternal | Nivel primario especial,Escuelas Integrales Interdisciplinarias,Dirección de Educación Especial,"Galvan 3630 - Galvan 3710 - Larralde, Crisologo Av. 5085",Saavedra,12,Mapa Escolar - Ministerio de Educación,POINT (17286.590834755993 77518.3520189428)
2359,Establecimiento educativo ESC. TEC. Nº 36 ALMIRANTE GUILLERMO BROWN DE 15,Establecimiento Educativo,ESC. TEC. Nº 36 ALMIRANTE GUILLERMO BROWN DE 15,202188.0,200724.0,00,Estatal,Nivel secundario común,Escuelas Técnicas,Dirección de Educación Técnica,"Galvan 3630 - Galvan 3710 - Larralde, Crisologo Av. 5085",Saavedra,12,Mapa Escolar - Ministerio de Educación,POINT (17286.590834755993 77518.3520189428)
2360,"Establecimiento educativo ESC. PARA NIÑOS, NIÑAS Y JOVENES CON PLURIDISCAPACIDAD MOTORA Nº 11 DR. AQUILES GAREISO DE 15",Establecimiento Educativo,"ESC. PARA NIÑOS, NIÑAS Y JOVENES CON PLURIDISCAPACIDAD MOTORA Nº 11 DR. AQUILES GAREISO DE 15",202188.0,201012.0,01,Estatal,Cursos y talleres de la escuela especial,Escuelas de Educación Especial,Dirección de Educación Especial,"Galvan 3630 - Galvan 3710 - Larralde, Crisologo Av. 5085",Saavedra,12,Mapa Escolar - Ministerio de Educación,POINT (17286.590834755993 77518.3520189428)
2361,Establecimiento educativo CLUB DE JOVENES POLO SAAVEDRA,Establecimiento Educativo,CLUB DE JOVENES POLO SAAVEDRA,202188.0,202363.0,08,Estatal,Servicios complementarios/alternativos,Centros de Actividades Infantiles y Juveniles,Subsecretaría de Gestión del Aprendizaje,"Galvan 3630 - Galvan 3710 - Larralde, Crisologo Av. 5085",Saavedra,12,Mapa Escolar - Ministerio de Educación,POINT (17286.590834755993 77518.3520189428)
2362,Establecimiento educativo ESCUELA INFANTIL Nº 06 NARANJO EN FLOR DE 15,Establecimiento Educativo,ESCUELA INFANTIL Nº 06 NARANJO EN FLOR DE 15,202188.0,202816.0,00,Estatal,Nivel inicial común - Jardín de infantes | Nivel inicial común - Jardín maternal,Escuelas Infantiles (EI),Dirección de Educación Inicial,"Galvan 3630 - Galvan 3710 - Larralde, Crisologo Av. 5085",Saavedra,12,Mapa Escolar - Ministerio de Educación,POINT (17286.590834755993 77518.3520189428)
2363,Establecimiento educativo ESC.SUP. DE EDUC. ARTISTICA EN MUSICA JUAN PEDRO ESNAOLA DE 15,Establecimiento Educativo,ESC.SUP. DE EDUC. ARTISTICA EN MUSICA JUAN PEDRO ESNAOLA DE 15,202188.0,203030.0,00,Estatal,Ciclos de enseñanza artística | Nivel secundario común | Nivel superior no universitario común,Escuelas Superiores de Educación Artística (ESEA),Dirección de Educación Artística,"Galvan 3630 - Galvan 3710 - Larralde, Crisologo Av. 5085",Saavedra,12,Mapa Escolar - Ministerio de Educación,POINT (17286.590834755993 77518.3520189428)
2364,Establecimiento educativo EI Nº 08 CAMINITO DE 10,Establecimiento Educativo,EI Nº 08 CAMINITO DE 10,202194.0,201727.0,00,Estatal,Nivel inicial común - Jardín maternal,Escuelas Infantiles (EI),Dirección de Educación Inicial,Arias 3775,Saavedra,12,Mapa Escolar - Ministerio de Educación,POINT (17896.074709792905 79077.08051213216)
2365,"Establecimiento educativo INST. ""COLINA DE ROBLE""",Establecimiento Educativo,"INST. ""COLINA DE ROBLE""",202195.0,202224.0,00,Privada,Nivel inicial común - Jardín de infantes | Nivel inicial común - Jardín maternal | Nivel primario común | Nivel secundario común,Institutos Educativos Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,Padre Canavery 7557,Nuñez,13,Mapa Escolar - Ministerio de Educación,POINT (20681.84881143032 79788.14674688142)
2366,Establecimiento educativo CFP UNION TRABAJADORES DE ENTIDADES DEPORTIVAS Y CIVILES,Establecimiento Educativo,CFP UNION TRABAJADORES DE ENTIDADES DEPORTIVAS Y CIVILES,202196.0,202958.0,00,Privada,Formación profesional / Capacitación laboral para jóvenes y adultos,Centros de Formación Profesional (Privados),Gerencia Operativa de Formación para el Trabajo y el Empleo,Viamonte 2084,Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (26109.101616451466 73120.8479800188)
2367,Establecimiento educativo CENTRO DE ESTUDIOS NUEVA VIDA,Establecimiento Educativo,CENTRO DE ESTUDIOS NUEVA VIDA,202197.0,202823.0,00,Privada,Nivel superior no universitario común,Institutos Educativos Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,Rivadavia Av. 4529,Almagro,5,Mapa Escolar - Ministerio de Educación,POINT (23085.134455690095 71563.98307011474)
2368,Establecimiento educativo UGEE Nº 19 BACH. POP. DE JOVENES Y ADULTOS VOCES DE LATINOAMERICA,Establecimiento Educativo,UGEE Nº 19 BACH. POP. DE JOVENES Y ADULTOS VOCES DE LATINOAMERICA,202198.0,203014.0,00,Estatal,Nivel secundario de jóvenes y adultos,Unidad de Gestión Educativa Experimental,Dirección de Educación del Adulto y del Adolescente,España Av. 1800,Puerto Madero,1,Mapa Escolar - Ministerio de Educación,POINT (29929.687034398725 71130.59459051726)
2369,Establecimiento educativo INST. PRIVADO INTEGRAL AARON ANGEL,Establecimiento Educativo,INST. PRIVADO INTEGRAL AARON ANGEL,202199.0,202824.0,00,Privada,Nivel inicial común - Jardín de infantes | Nivel inicial común - Jardín maternal | Nivel primario común,Institutos Educativos Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,Gurruchaga 742,Villa Crespo,15,Mapa Escolar - Ministerio de Educación,POINT (22249.474486295592 73767.17716805928)
2370,Establecimiento educativo INST. PARROQ.STA.MA. MADRE DEL PUEBLO,Establecimiento Educativo,INST. PARROQ.STA.MA. MADRE DEL PUEBLO,202200.0,202825.0,00,Privada,Nivel inicial común - Jardín de infantes | Nivel inicial común - Jardín maternal | Nivel primario común | Nivel secundario común,Institutos Educativos Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,Varela Av. 1902,Flores,7,Mapa Escolar - Ministerio de Educación,POINT (21480.581615660278 67888.61098151896)
2371,Establecimiento educativo IMAGO KINDER,Establecimiento Educativo,IMAGO KINDER,202201.0,202976.0,00,Privada,Servicios complementarios/alternativos,Inst. Educ. Asistenciales no Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,Blanco Encalada 3345,Belgrano,13,Mapa Escolar - Ministerio de Educación,POINT (19527.459379544587 77171.81164404911)
2372,Establecimiento educativo ESCUELA INTEGRAL CASA DE MOISES,Establecimiento Educativo,ESCUELA INTEGRAL CASA DE MOISES,202202.0,202748.0,00,Privada,Nivel primario común,Institutos Educativos Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,"Vallese, Felipe 2953",Flores,7,Mapa Escolar - Ministerio de Educación,POINT (19026.145667768484 70660.57751038435)
2373,Establecimiento educativo ESC.SUP.DE EDUC. ARTISTICA EN DANZA Nº 1 NELLY RAMICONE,Establecimiento Educativo,ESC.SUP.DE EDUC. ARTISTICA EN DANZA Nº 1 NELLY RAMICONE,202204.0,203028.0,00,Estatal,Ciclos de enseñanza artística | Cursos y talleres de la submodalidad artística | Nivel secundario común | Nivel superior no universitario común,Escuelas Superiores de Educación Artística (ESEA),Dirección de Educación Artística,Fonrouge 711,Liniers,9,Mapa Escolar - Ministerio de Educación,POINT (15945.175066996731 68166.20607537459)
2374,Establecimiento educativo INT.CREA-CONVIVENCIAS RECREA LA EDUC.ARG,Establecimiento Educativo,INT.CREA-CONVIVENCIAS RECREA LA EDUC.ARG,202206.0,202511.0,01,Privada,Nivel primario común,Institutos Educativos Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,"Solano Lopez, F., Mariscal 3125",Villa Devoto,11,Mapa Escolar - Ministerio de Educación,POINT (16048.050534614815 73280.42721130418)
2375,Establecimiento educativo INSTITUTO COMPRENDER,Establecimiento Educativo,INSTITUTO COMPRENDER,202207.0,202750.0,00,Privada,Nivel primario especial,Institutos Educativos Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,"Lemos, Juan Gregorio, Gral. 184",Chacarita,15,Mapa Escolar - Ministerio de Educación,POINT (21382.763778117962 74430.08876853611)
2376,Establecimiento educativo INSTITUTO SAINT JEAN,Establecimiento Educativo,INSTITUTO SAINT JEAN,202208.0,201709.0,01,Privada,Educación integral para adolescentes y jóvenes | Nivel primario especial,Institutos Educativos Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,"Rivera, Pedro I., Dr. 5445",Villa Urquiza,12,Mapa Escolar - Ministerio de Educación,POINT (17335.32208405197 76114.75988240859)
2377,Establecimiento educativo CENTRO EDUCATIVO Nº 22 Ex CCDTE OLIMPO,Establecimiento Educativo,CENTRO EDUCATIVO Nº 22 Ex CCDTE OLIMPO,202209.0,201845.0,47,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos,"Prog. de Alfabetización, Educ. Bás. y Trabajo p/ Jóvenes y Adultos",Dirección de Educación del Adulto y del Adolescente,"Falcon, Ramon L.,Cnel. 4250",Velez Sarsfield,10,Mapa Escolar - Ministerio de Educación,POINT (17856.764284310386 69185.98734464752)
2378,Establecimiento educativo ESCUELA INFANTIL CAMINITO DE COLORES,Establecimiento Educativo,ESCUELA INFANTIL CAMINITO DE COLORES,202214.0,202841.0,00,Privada,Servicios complementarios/alternativos,Inst. Educ. Asistenciales no Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,"Jauretche, Arturo 231",Caballito,6,Mapa Escolar - Ministerio de Educación,POINT (22464.436525288354 72078.88968444029)
2379,Establecimiento educativo EL JARDIN DE TERESA,Establecimiento Educativo,EL JARDIN DE TERESA,202215.0,202458.0,10,Estatal,Servicios complementarios/alternativos,Primera Infancia,Subsecretaría de Gestión del Aprendizaje,Fraga 895,Chacarita,15,Mapa Escolar - Ministerio de Educación,POINT (20692.304975350646 75049.42874251958)
2380,Establecimiento educativo LUCES EN EL BAJO,Establecimiento Educativo,LUCES EN EL BAJO,202216.0,202458.0,29,Estatal,Servicios complementarios/alternativos,Primera Infancia,Subsecretaría de Gestión del Aprendizaje,Cobo Av. y Curapaligue,Flores,7,Mapa Escolar - Ministerio de Educación,POINT (21928.94584521579 68256.08193507219)
2381,Establecimiento educativo INST.SOC.MIL.DR.DAMASO  GRAL SAN MARTIN),Establecimiento Educativo,INST.SOC.MIL.DR.DAMASO  GRAL SAN MARTIN),202219.0,290030.0,01,Estatal,Nivel inicial común - Jardín de infantes,No corresponde - Otras dependencias,No corresponde - Otras dependencias,"Matienzo, Benjamin, Teniente 1870",Palermo,14,Mapa Escolar - Ministerio de Educación,POINT (22632.991861234004 76642.16834421558)
2382,"Establecimiento educativo UGEE Nº12BACH.POP.DE ADULTOS Y ADOLES.""20 FLORES""",Establecimiento Educativo,"UGEE Nº12BACH.POP.DE ADULTOS Y ADOLES.""20 FLORES""",202222.0,202848.0,00,Estatal,Nivel secundario de jóvenes y adultos,Unidad de Gestión Educativa Experimental,Dirección de Educación del Adulto y del Adolescente,Avellaneda Av. 2177,Flores,7,Mapa Escolar - Ministerio de Educación,POINT (20120.942264826954 70676.72875490879)
2383,Establecimiento educativo UGEE Nº 20 BACH. POP. DE JOVENES Y ADULTOS ALBERTO CHEJOLAN HUELLAS DEL BARRIO 31,Establecimiento Educativo,UGEE Nº 20 BACH. POP. DE JOVENES Y ADULTOS ALBERTO CHEJOLAN HUELLAS DEL BARRIO 31,202223.0,203015.0,00,Estatal,Nivel secundario de jóvenes y adultos,Unidad de Gestión Educativa Experimental,Dirección de Educación del Adulto y del Adolescente,Islas Galapagos 2550 - Islas Galapagos 2555,Retiro,1,Mapa Escolar - Ministerio de Educación,POINT (27688.711389581786 75119.91103618167)
2384,Establecimiento educativo ESCUELA INFANTIL Nº 13 DE 05,Establecimiento Educativo,ESCUELA INFANTIL Nº 13 DE 05,202224.0,202828.0,00,Estatal,Nivel inicial común - Jardín de infantes | Nivel inicial común - Jardín maternal,Escuelas Infantiles (EI),Dirección de Educación Inicial,"Taborda, Diogenes 1096",Nueva Pompeya,4,Mapa Escolar - Ministerio de Educación,POINT (24973.918087526465 67524.02546304037)
2385,Establecimiento educativo ESC. NAC. DE EXPERIM. Y REALIZACION CINEMATOGRAFICA,Establecimiento Educativo,ESC. NAC. DE EXPERIM. Y REALIZACION CINEMATOGRAFICA,202225.0,202817.0,00,Estatal,Nivel superior no universitario común,No corresponde - Otras dependencias,No corresponde - Otras dependencias,Moreno 1199,Monserrat,1,Mapa Escolar - Ministerio de Educación,POINT (27353.61422435398 71929.11011448616)
2386,Establecimiento educativo SERVICIO DE EDUCACION A DISTANCIA (SEAD),Establecimiento Educativo,SERVICIO DE EDUCACION A DISTANCIA (SEAD),202226.0,202815.0,00,Estatal,Nivel primario común | Nivel secundario común,No corresponde - Otras dependencias,No corresponde - Otras dependencias,"Alvear, Marcelo T. De 1650",Recoleta,2,Mapa Escolar - Ministerio de Educación,POINT (26659.856665952593 73530.50309037037)
2387,Establecimiento educativo SERVICIO DE EDUC. A DISTANCIA AL EXTERIOR (SEADE),Establecimiento Educativo,SERVICIO DE EDUC. A DISTANCIA AL EXTERIOR (SEADE),202228.0,202801.0,00,Estatal,Nivel inicial común - Jardín de infantes | Nivel primario común | Nivel secundario común,No corresponde - Otras dependencias,No corresponde - Otras dependencias,Cabildo Av. 65,Palermo,14,Mapa Escolar - Ministerio de Educación,POINT (22474.309565325337 76101.6839522947)
2388,Establecimiento educativo SERVICIO ABIERTO DE NIVEL MEDIO (SANM),Establecimiento Educativo,SERVICIO ABIERTO DE NIVEL MEDIO (SANM),202228.0,202863.0,00,Estatal,Nivel secundario de jóvenes y adultos,No corresponde - Otras dependencias,No corresponde - Otras dependencias,Cabildo Av. 65,Palermo,14,Mapa Escolar - Ministerio de Educación,POINT (22474.309565325337 76101.6839522947)
2389,Establecimiento educativo ESCUELA ALAMOS,Establecimiento Educativo,ESCUELA ALAMOS,202229.0,202888.0,00,Privada,Nivel inicial común - Jardín de infantes | Nivel primario común,Institutos Educativos Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,"Salguero, Jeronimo 165",Almagro,5,Mapa Escolar - Ministerio de Educación,POINT (23981.928917162397 72245.11671406058)
2390,Establecimiento educativo INSTITUTO PRIVADO COLEGIO MASTER,Establecimiento Educativo,INSTITUTO PRIVADO COLEGIO MASTER,202232.0,200977.0,00,Privada,Nivel inicial común - Jardín de infantes | Nivel inicial común - Jardín maternal | Nivel primario común,Institutos Educativos Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,Arcos 1433,Belgrano,13,Mapa Escolar - Ministerio de Educación,POINT (21396.672213190017 76982.51766212296)
2391,Establecimiento educativo JARDIN MATERNO INFANTIL EL GATO GARABATO,Establecimiento Educativo,JARDIN MATERNO INFANTIL EL GATO GARABATO,202233.0,202838.0,00,Privada,Servicios complementarios/alternativos,Inst. Educ. Asistenciales no Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,"Mitre, Bartolome 1848",Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (26455.538617574515 72343.0492243809)
2392,Establecimiento educativo EL DUENDE ROJO,Establecimiento Educativo,EL DUENDE ROJO,202234.0,202788.0,00,Privada,Servicios complementarios/alternativos,Inst. Educ. Asistenciales no Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,"Jaures, Jean 967",Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (25191.577659787883 73396.44000497363)
2393,"Establecimiento educativo ESC.SOCIAL SAN JUAN BOSCO,LA NOCTURNA",Establecimiento Educativo,"ESC.SOCIAL SAN JUAN BOSCO,LA NOCTURNA",202237.0,202826.0,00,Privada,Nivel secundario de jóvenes y adultos,Institutos Educativos Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,"Araoz De Lamadrid, Gregorio, Gral. 447",Boca,4,Mapa Escolar - Ministerio de Educación,POINT (29611.724660864653 69133.42765379795)
2394,Establecimiento educativo INSTITUTO DE FORM. SUP. SEDEBA,Establecimiento Educativo,INSTITUTO DE FORM. SUP. SEDEBA,202238.0,202821.0,00,Privada,Nivel superior no universitario común,Institutos Educativos Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,Corrientes Av. 5295,Villa Crespo,15,Mapa Escolar - Ministerio de Educación,POINT (22177.173881633113 73357.18553222695)
2395,Establecimiento educativo CENS Nº 27 DE 03,Establecimiento Educativo,CENS Nº 27 DE 03,202240.0,201460.0,00,Estatal,Nivel secundario de jóvenes y adultos,Centros Educativos de Nivel Secundario (CENS),Dirección de Educación del Adulto y del Adolescente,"Marmol, Jose 1350",Boedo,5,Mapa Escolar - Ministerio de Educación,POINT (23687.974277354075 69855.53504189884)
2396,Establecimiento educativo CENS Nº 11 DE 06,Establecimiento Educativo,CENS Nº 11 DE 06,202240.0,201604.0,00,Estatal,Nivel secundario de jóvenes y adultos,Centros Educativos de Nivel Secundario (CENS),Dirección de Educación del Adulto y del Adolescente,"Marmol, Jose 1350",Boedo,5,Mapa Escolar - Ministerio de Educación,POINT (23687.974277354075 69855.53504189884)
2397,Establecimiento educativo CFP Nº 30 DE 06,Establecimiento Educativo,CFP Nº 30 DE 06,202240.0,202765.0,00,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos,Centros de Formación Profesional (CFP),Gerencia Operativa de Formación para el Trabajo y el Empleo,"Marmol, Jose 1350",Boedo,5,Mapa Escolar - Ministerio de Educación,POINT (23687.974277354075 69855.53504189884)
2398,Establecimiento educativo CFP Nº 11 DE 14 (TALLERES DORREGO),Establecimiento Educativo,CFP Nº 11 DE 14 (TALLERES DORREGO),202241.0,202021.0,01,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos,Centros de Formación Profesional (CFP),Gerencia Operativa de Formación para el Trabajo y el Empleo,Dorrego Av. 690,Chacarita,15,Mapa Escolar - Ministerio de Educación,POINT (21319.907781108144 74054.61075109024)
2399,Establecimiento educativo UGEE Nº 13 BACH.POP.DE ADULTOS Y ADOLES Nº 13 RAYMUNDO GLEYZER DE 6,Establecimiento Educativo,UGEE Nº 13 BACH.POP.DE ADULTOS Y ADOLES Nº 13 RAYMUNDO GLEYZER DE 6,202245.0,202853.0,00,Estatal,Nivel secundario de jóvenes y adultos,Unidad de Gestión Educativa Experimental,Dirección de Educación del Adulto y del Adolescente,"Garay, Juan De Av. 2900",Parque Patricios,4,Mapa Escolar - Ministerio de Educación,POINT (25311.410366278633 69996.24103609046)
2400,Establecimiento educativo INSTITUTO TRASO,Establecimiento Educativo,INSTITUTO TRASO,202248.0,202749.0,00,Privada,Educación integral para adolescentes y jóvenes,Institutos Educativos Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,Paysandu 564,Caballito,6,Mapa Escolar - Ministerio de Educación,POINT (21228.286295458485 71393.41116929392)
2401,Establecimiento educativo INST. SUP. DE ENSEÑANZA HOTELERO GASTRONOMICA,Establecimiento Educativo,INST. SUP. DE ENSEÑANZA HOTELERO GASTRONOMICA,202250.0,202787.0,00,Privada,Nivel superior no universitario común,Institutos Educativos Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,Tucuman 1610,San Nicolas,1,Mapa Escolar - Ministerio de Educación,POINT (26745.869611694143 73030.96126608676)
2402,Establecimiento educativo CAUCE XXI,Establecimiento Educativo,CAUCE XXI,202252.0,202766.0,00,Privada,Servicios complementarios/alternativos,Inst. Educ. Asistenciales no Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,Solis 480,Monserrat,1,Mapa Escolar - Ministerio de Educación,POINT (26702.79488170355 71624.60073858479)
2403,Establecimiento educativo ESCUELA INFANTIL JESUS,Establecimiento Educativo,ESCUELA INFANTIL JESUS,202254.0,202981.0,00,Privada,Nivel inicial común - Jardín de infantes,Institutos Educativos Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,Bogota 3940,Floresta,10,Mapa Escolar - Ministerio de Educación,POINT (18142.989135138734 69833.52057903628)
2404,Establecimiento educativo DE BROTECITOS,Establecimiento Educativo,DE BROTECITOS,202255.0,202769.0,00,Privada,Servicios complementarios/alternativos,Inst. Educ. Asistenciales no Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,"Magariños Cervantes, A. 2884",Villa Santa Rita,11,Mapa Escolar - Ministerio de Educación,POINT (18517.137998052087 71763.16423855472)
2405,Establecimiento educativo OAKY,Establecimiento Educativo,OAKY,202260.0,202774.0,00,Privada,Servicios complementarios/alternativos,Inst. Educ. Asistenciales no Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,Cespedes 3517,Chacarita,15,Mapa Escolar - Ministerio de Educación,POINT (20751.219446114264 75530.65017588291)
2406,Establecimiento educativo ESCUELA INFANTIL RULOS Y MOÑOS,Establecimiento Educativo,ESCUELA INFANTIL RULOS Y MOÑOS,202264.0,202778.0,00,Privada,Servicios complementarios/alternativos,Inst. Educ. Asistenciales no Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,Ibarrola 7065,Liniers,9,Mapa Escolar - Ministerio de Educación,POINT (14269.651564166263 68646.67326532847)
2407,Establecimiento educativo CHISPITA,Establecimiento Educativo,CHISPITA,202267.0,202780.0,00,Privada,Servicios complementarios/alternativos,Inst. Educ. Asistenciales no Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,Bulnes 1461,Palermo,14,Mapa Escolar - Ministerio de Educación,POINT (24303.58567773881 73843.8279816587)
2408,Establecimiento educativo SOLCITO,Establecimiento Educativo,SOLCITO,202268.0,202781.0,00,Privada,Servicios complementarios/alternativos,Inst. Educ. Asistenciales no Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,Junin 624,Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (26065.12245753737 73039.90531819743)
2409,Establecimiento educativo ESCUELA INFANTIL SOLCITO,Establecimiento Educativo,ESCUELA INFANTIL SOLCITO,202268.0,203183.0,00,Privada,Nivel inicial común - Jardín de infantes,Institutos Educativos Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,Junin 624,Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (26065.12245753737 73039.90531819743)
2410,Establecimiento educativo JARDIN DE LA UNION,Establecimiento Educativo,JARDIN DE LA UNION,202270.0,202784.0,00,Privada,Servicios complementarios/alternativos,Inst. Educ. Asistenciales no Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,De Los Inmigrantes Av. 1950,Retiro,1,Mapa Escolar - Ministerio de Educación,POINT (28406.33587963965 74849.81188600686)
2411,Establecimiento educativo INSTITUTO TERCIARIO TAMABA,Establecimiento Educativo,INSTITUTO TERCIARIO TAMABA,202273.0,202737.0,00,Privada,Nivel superior no universitario común,Institutos Educativos Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,"Alsina, Adolfo 1994",Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (26306.33943382917 71935.25844715368)
2412,Establecimiento educativo UGEE Nº 22 BACH. POP. DE JOVENES Y ADULTOS SOL DEL SUR,Establecimiento Educativo,UGEE Nº 22 BACH. POP. DE JOVENES Y ADULTOS SOL DEL SUR,202275.0,203017.0,00,Estatal,Nivel secundario de jóvenes y adultos,Unidad de Gestión Educativa Experimental,Dirección de Educación del Adulto y del Adolescente,Esperanza 3745,Villa Soldati,8,Mapa Escolar - Ministerio de Educación,POINT (20840.729814493177 66307.07171182858)
2413,Establecimiento educativo CENTRO EDUCATIVO DE NIVEL PRIMARIO,Establecimiento Educativo,CENTRO EDUCATIVO DE NIVEL PRIMARIO,202277.0,201598.0,90,Estatal,Nivel primario de jóvenes y adultos,Centros Educativos de Nivel Primario (CENP),Dirección de Educación del Adulto y del Adolescente,"Mitre, Bartolome 2815",Balvanera,3,Mapa Escolar - Ministerio de Educación,POINT (25240.29946380526 72280.65369143886)
2414,Establecimiento educativo CENS Nº 35 DE 19,Establecimiento Educativo,CENS Nº 35 DE 19,202278.0,200301.0,01,Estatal,Nivel secundario de jóvenes y adultos,Centros Educativos de Nivel Secundario (CENS),Dirección de Educación del Adulto y del Adolescente,Matanza 2781,Nueva Pompeya,4,Mapa Escolar - Ministerio de Educación,POINT (22870.300191445924 67371.25267541826)
2415,Establecimiento educativo CFP Nº 39 DE 19,Establecimiento Educativo,CFP Nº 39 DE 19,202278.0,202956.0,00,Estatal,Formación profesional / Capacitación laboral para jóvenes y adultos,Centros de Formación Profesional (CFP),Gerencia Operativa de Formación para el Trabajo y el Empleo,Matanza 2781,Nueva Pompeya,4,Mapa Escolar - Ministerio de Educación,POINT (22870.300191445924 67371.25267541826)
2416,Establecimiento educativo INSTITUTO DE FORMACION SUPERIOR EN TURISMO,Establecimiento Educativo,INSTITUTO DE FORMACION SUPERIOR EN TURISMO,202279.0,202858.0,00,Privada,Nivel superior no universitario común,Institutos Educativos Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,Viamonte 783,San Nicolas,1,Mapa Escolar - Ministerio de Educación,POINT (27834.536191037147 73244.55416879598)
2417,Establecimiento educativo COL. DE ENSEÑ. MEDIA A DISTANCIA (IUPFA),Establecimiento Educativo,COL. DE ENSEÑ. MEDIA A DISTANCIA (IUPFA),202284.0,202411.0,00,Estatal,Nivel secundario de jóvenes y adultos,No corresponde - Otras dependencias,No corresponde - Otras dependencias,Rosario 532,Caballito,6,Mapa Escolar - Ministerio de Educación,POINT (22490.45704563799 71068.97890105503)
2418,Establecimiento educativo BACH. POP. DE JOVENES Y ADULTOS BAJO FLORES,Establecimiento Educativo,BACH. POP. DE JOVENES Y ADULTOS BAJO FLORES,202285.0,202866.0,00,Privada,Nivel secundario de jóvenes y adultos,Bachilleratos Populares de Jóvenes y Adultos,Dirección de Educación del Adulto y del Adolescente,"Moreno, Perito Av. 2301",Flores,7,Mapa Escolar - Ministerio de Educación,POINT (21908.555347953024 67652.38139091854)
2419,Establecimiento educativo JARDIN MATERNAL MI PEQUEÑO MUNDO,Establecimiento Educativo,JARDIN MATERNAL MI PEQUEÑO MUNDO,202287.0,202872.0,00,Privada,Servicios complementarios/alternativos,Inst. Educ. Asistenciales no Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,"Alem, Leandro N. Av. 719",San Nicolas,1,Mapa Escolar - Ministerio de Educación,POINT (28498.621757705805 73322.40066720381)
2420,Establecimiento educativo ESCUELA INFANTIL PETETE,Establecimiento Educativo,ESCUELA INFANTIL PETETE,202289.0,202835.0,00,Privada,Servicios complementarios/alternativos,Inst. Educ. Asistenciales no Incorporados a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,Gavilan 4455,Villa Pueyrredon,12,Mapa Escolar - Ministerio de Educación,POINT (17339.717822384722 75110.65844406933)
